angler_id,home_port,experience_level
a-001,PortC,novice
a-002,PortA,expert
a-003,PortB,novice
a-004,PortA,novice
a-005,PortC,novice
a-006,PortC,expert
a-007,PortC,novice
a-008,PortC,regular
a-009,PortA,novice
a-010,PortA,novice
a-011,PortA,expert
a-012,PortC,novice
a-013,PortC,novice
a-014,PortC,expert
a-015,PortC,expert
a-016,PortB,novice
a-017,PortB,expert
a-018,PortB,novice
a-019,PortA,expert
a-020,PortB,regular
a-021,PortB,novice
a-022,PortA,regular
a-023,PortA,novice
a-024,PortB,novice
a-025,PortB,regular
a-026,PortC,regular
a-027,PortA,expert
a-028,PortB,expert
a-029,PortA,regular
a-030,PortA,expert
