catchId,tripId,speciesCode,count,keptCount,releasedCount,avgLengthCm,catchLat,catchLon,catchTime
c-0001-00,t-0001,SHARK,2,1,1,65.3,28.26601,-96.08936,10:15:00
c-0001-01,t-0001,SNOOK,5,5,0,84.8,26.85142,-97.38099,14:15:00
c-0001-02,t-0001,SHARK,8,6,2,119.0,27.22852,-97.31038,15:15:00
c-0001-03,t-0001,RED_SNAPPER,1,0,1,100.5,27.57461,-96.1143,11:30:00
c-0002-00,t-0002,SNOOK,9,4,5,78.5,26.32115,-96.31002,14:45:00
c-0002-01,t-0002,RED_SNAPPER,3,3,0,95.6,26.83259,-95.80535,06:15:00
c-0002-02,t-0002,TARPON,7,1,6,58.2,27.44313,-96.21584,12:30:00
c-0002-03,t-0002,SNOOK,1,0,1,108.5,28.23348,-96.07844,09:30:00
c-0003-00,t-0003,SHARK,2,2,0,104.2,27.75251,-96.78464,13:15:00
c-0003-01,t-0003,RED_SNAPPER,9,8,1,79.9,26.35153,-96.27498,12:00:00
c-0003-02,t-0003,RED_SNAPPER,5,1,4,44.1,26.2573,-97.07404,14:00:00
c-0003-03,t-0003,COBIA,2,2,0,32.8,26.197,-96.82802,12:15:00
c-0003-04,t-0003,FLOUNDER,7,3,4,95.5,26.60963,-96.05513,16:15:00
c-0003-05,t-0003,SHARK,11,10,1,63.8,27.63978,-97.00202,13:45:00
c-0004-00,t-0004,FLOUNDER,6,0,6,43.8,26.15502,-97.73717,15:45:00
c-0004-01,t-0004,TARPON,10,9,1,44.3,26.49274,-97.53538,12:45:00
c-0004-02,t-0004,TARPON,7,5,2,61.1,26.43794,-97.60614,16:00:00
c-0005-00,t-0005,TARPON,3,2,1,45.0,27.23346,-97.51964,06:45:00
c-0005-01,t-0005,SNOOK,2,0,2,119.9,27.85845,-96.08807,05:00:00
c-0005-02,t-0005,TARPON,3,3,0,68.1,28.13064,-96.10261,11:00:00
c-0006-00,t-0006,SNOOK,1,0,1,51.4,26.43677,-97.3646,05:45:00
c-0006-01,t-0006,FLOUNDER,3,0,3,28.0,27.15656,-96.09456,07:00:00
c-0006-02,t-0006,RED_SNAPPER,4,3,1,114.2,27.36858,-96.44957,14:15:00
c-0007-00,t-0007,TARPON,11,4,7,51.6,26.61091,-97.53824,06:00:00
c-0007-01,t-0007,FLOUNDER,2,0,2,41.3,27.05406,-95.80309,09:15:00
c-0007-02,t-0007,SHARK,4,2,2,35.8,28.1465,-96.03827,13:30:00
c-0008-00,t-0008,SHARK,3,2,1,80.5,28.04634,-96.31517,16:30:00
c-0008-01,t-0008,TARPON,5,4,1,45.1,26.46827,-96.53152,05:00:00
c-0009-00,t-0009,RED_SNAPPER,9,0,9,27.5,27.01622,-96.38867,16:15:00
c-0009-01,t-0009,COBIA,10,8,2,63.0,27.25486,-96.13081,05:30:00
c-0009-02,t-0009,COBIA,1,1,0,88.2,26.8387,-95.93382,15:00:00
c-0009-03,t-0009,COBIA,7,2,5,106.5,26.81346,-96.68023,07:45:00
c-0009-04,t-0009,TARPON,6,6,0,100.2,26.05701,-96.32687,16:15:00
c-0009-05,t-0009,RED_SNAPPER,2,1,1,105.9,26.61365,-96.22525,08:15:00
c-0009-06,t-0009,COBIA,5,1,4,22.4,27.87815,-96.87939,08:45:00
c-0010-00,t-0010,RED_SNAPPER,10,8,2,58.5,27.67565,-97.17265,14:15:00
c-0010-01,t-0010,SHARK,1,0,1,63.1,26.58586,-96.38243,15:30:00
c-0010-02,t-0010,SHARK,2,2,0,70.7,27.43326,-96.47323,15:45:00
c-0010-03,t-0010,COBIA,9,2,7,62.0,26.75022,-96.40558,11:15:00
c-0011-00,t-0011,TARPON,11,5,6,64.2,26.98874,-96.64003,15:15:00
c-0011-01,t-0011,SNOOK,12,2,10,28.5,27.1757,-96.21253,13:30:00
c-0011-02,t-0011,COBIA,4,2,2,100.7,26.21479,-95.896,07:00:00
c-0012-00,t-0012,SNOOK,4,1,3,88.8,27.60161,-96.81125,06:45:00
c-0012-01,t-0012,TARPON,12,8,4,25.0,26.50333,-96.19178,08:00:00
c-0012-02,t-0012,FLOUNDER,11,8,3,79.5,27.04986,-96.19717,12:45:00
c-0012-03,t-0012,TARPON,3,3,0,45.9,27.91031,-96.70426,08:30:00
c-0012-04,t-0012,SHARK,11,3,8,64.0,27.76137,-96.7574,16:30:00
c-0012-05,t-0012,COBIA,9,1,8,35.1,26.53934,-97.1283,11:15:00
c-0012-06,t-0012,FLOUNDER,7,5,2,66.6,27.62476,-97.67154,05:15:00
c-0013-00,t-0013,TARPON,10,3,7,41.9,27.71929,-96.70774,11:45:00
c-0013-01,t-0013,SNOOK,11,6,5,36.5,26.06676,-97.12774,12:15:00
c-0013-02,t-0013,RED_SNAPPER,7,0,7,84.3,28.25566,-96.73175,07:45:00
c-0013-03,t-0013,TARPON,6,1,5,52.7,26.41798,-97.27969,11:30:00
c-0013-04,t-0013,TARPON,5,0,5,21.9,27.72962,-96.13615,13:00:00
c-0013-05,t-0013,SNOOK,11,1,10,24.0,28.29979,-97.10008,05:15:00
c-0014-00,t-0014,COBIA,5,2,3,80.6,28.17984,-96.86993,16:00:00
c-0014-01,t-0014,FLOUNDER,5,0,5,22.6,27.78892,-97.47247,09:45:00
c-0014-02,t-0014,SNOOK,2,2,0,103.1,26.91231,-96.36997,08:00:00
c-0014-03,t-0014,RED_SNAPPER,11,9,2,99.6,27.60354,-97.19683,14:00:00
c-0014-04,t-0014,FLOUNDER,6,0,6,84.8,26.79857,-96.94324,05:45:00
c-0014-05,t-0014,TARPON,6,5,1,90.7,27.89136,-97.58892,11:15:00
c-0015-00,t-0015,TARPON,2,1,1,44.4,27.95894,-96.13854,12:45:00
c-0015-01,t-0015,TARPON,6,1,5,41.2,26.77371,-96.81139,09:30:00
c-0015-02,t-0015,RED_SNAPPER,5,4,1,71.7,26.64321,-96.60769,08:00:00
c-0015-03,t-0015,SNOOK,9,3,6,67.6,26.55512,-96.98714,16:45:00
c-0016-00,t-0016,RED_SNAPPER,5,1,4,92.1,27.61657,-97.25817,10:00:00
c-0016-01,t-0016,COBIA,12,2,10,41.6,27.70863,-95.89824,12:30:00
c-0016-02,t-0016,SHARK,9,9,0,118.1,27.66655,-95.84679,08:30:00
c-0016-03,t-0016,SHARK,1,0,1,24.6,26.52321,-97.44112,05:30:00
c-0017-00,t-0017,TARPON,1,1,0,31.4,27.10104,-97.11859,06:45:00
c-0017-01,t-0017,COBIA,11,0,11,34.9,27.13102,-96.64596,14:30:00
c-0017-02,t-0017,FLOUNDER,9,6,3,79.6,26.19592,-97.30362,14:15:00
c-0017-03,t-0017,FLOUNDER,8,4,4,119.0,27.7841,-97.03924,09:00:00
c-0017-04,t-0017,SHARK,4,1,3,86.0,27.40215,-96.31982,07:15:00
c-0018-00,t-0018,TARPON,5,5,0,27.1,26.07507,-97.22379,08:30:00
c-0018-01,t-0018,TARPON,11,3,8,31.5,27.812,-96.54988,08:15:00
c-0018-02,t-0018,COBIA,2,0,2,99.3,28.08935,-96.14674,14:30:00
c-0018-03,t-0018,TARPON,5,5,0,114.3,27.01005,-96.8626,13:45:00
c-0019-00,t-0019,FLOUNDER,5,1,4,63.6,27.19362,-96.91554,12:00:00
c-0019-01,t-0019,RED_SNAPPER,6,5,1,105.8,27.08102,-96.9833,10:45:00
c-0019-02,t-0019,TARPON,7,0,7,28.8,27.59545,-97.22356,09:30:00
c-0019-03,t-0019,SNOOK,9,0,9,106.9,26.26662,-96.2549,12:45:00
c-0019-04,t-0019,SNOOK,10,7,3,64.2,26.12467,-96.76312,05:15:00
c-0020-00,t-0020,RED_SNAPPER,9,6,3,42.5,26.36427,-96.69832,06:45:00
c-0020-01,t-0020,SNOOK,3,3,0,49.2,28.17824,-96.50458,16:30:00
c-0020-02,t-0020,TARPON,8,3,5,75.1,26.95563,-96.835,11:15:00
c-0020-03,t-0020,SHARK,3,0,3,97.3,28.1203,-96.78352,11:30:00
c-0020-04,t-0020,SNOOK,1,1,0,49.9,28.14877,-96.78452,14:45:00
c-0020-05,t-0020,SHARK,8,5,3,75.2,27.9901,-96.90691,13:45:00
c-0020-06,t-0020,FLOUNDER,4,1,3,58.3,27.04729,-97.15645,11:00:00
c-0021-00,t-0021,RED_SNAPPER,2,1,1,72.6,27.15527,-96.61964,12:00:00
c-0021-01,t-0021,RED_SNAPPER,11,2,9,66.9,27.66162,-96.98004,09:30:00
c-0021-02,t-0021,SNOOK,2,1,1,105.9,27.4335,-97.00503,11:30:00
c-0022-00,t-0022,SHARK,1,0,1,99.6,26.38264,-97.20107,09:30:00
c-0022-01,t-0022,FLOUNDER,9,6,3,88.2,26.86213,-97.50886,07:15:00
c-0022-02,t-0022,TARPON,7,3,4,111.3,26.40266,-96.58102,07:15:00
c-0022-03,t-0022,RED_SNAPPER,5,5,0,109.9,27.06064,-97.29205,12:30:00
c-0022-04,t-0022,FLOUNDER,8,5,3,49.9,27.55851,-97.48405,11:30:00
c-0023-00,t-0023,RED_SNAPPER,12,4,8,117.8,26.82561,-97.20826,15:45:00
c-0023-01,t-0023,RED_SNAPPER,11,11,0,111.1,26.6313,-96.66814,16:45:00
c-0023-02,t-0023,SHARK,4,4,0,41.9,27.91553,-95.99413,08:30:00
c-0023-03,t-0023,COBIA,11,10,1,82.8,27.55886,-96.35814,15:00:00
c-0023-04,t-0023,SNOOK,10,5,5,33.1,26.71055,-96.91835,09:30:00
c-0023-05,t-0023,FLOUNDER,3,2,1,70.2,27.71921,-97.44872,09:15:00
c-0024-00,t-0024,SNOOK,11,11,0,118.0,27.73455,-97.34877,13:30:00
c-0024-01,t-0024,RED_SNAPPER,5,4,1,65.5,26.2077,-97.01085,15:30:00
c-0024-02,t-0024,SNOOK,6,0,6,43.4,27.34449,-96.15517,05:30:00
c-0025-00,t-0025,COBIA,4,4,0,58.9,28.29063,-97.56776,10:45:00
c-0025-01,t-0025,TARPON,7,1,6,81.6,27.35088,-96.3468,09:00:00
c-0025-02,t-0025,SHARK,8,3,5,29.9,27.58765,-97.36546,15:30:00
c-0025-03,t-0025,TARPON,6,0,6,47.6,27.25227,-95.84431,06:45:00
c-0026-00,t-0026,COBIA,10,3,7,52.9,27.90858,-96.69158,07:00:00
