tagReportId,tripId,tagCode,eventType,speciesCode,eventDateTime,eventLat,eventLon,condition
tr-0003,t-0003,TAG10003,tagged,RED_SNAPPER,2025-05-31T11:15:00,26.57018,-97.67195,excellent
tr-0006,t-0006,TAG10006,tagged,FLOUNDER,2025-07-14T05:45:00,27.36739,-96.56124,good
tr-0009,t-0009,TAG10009,tagged,SHARK,2025-08-05T09:00:00,26.64079,-97.66116,good
tr-r-0009,t-0009,TAG10009,recaptured,SHARK,2025-09-20T11:00:00,27.17163,-96.44096,fair
tr-0012,t-0012,TAG10012,tagged,TARPON,2025-05-06T12:00:00,26.8958,-96.26041,fair
tr-0015,t-0015,TAG10015,tagged,TARPON,2025-09-25T15:30:00,27.82375,-97.61389,excellent
tr-0018,t-0018,TAG10018,tagged,TARPON,2025-10-10T06:15:00,26.18502,-97.72028,good
tr-r-0018,t-0018,TAG10018,recaptured,SNOOK,2025-11-04T08:15:00,27.38854,-97.74827,good
tr-0021,t-0021,TAG10021,tagged,SNOOK,2025-08-31T16:45:00,27.65305,-96.2812,fair
tr-0024,t-0024,TAG10024,tagged,FLOUNDER,2025-09-04T09:30:00,26.50914,-97.67357,good
tr-0027,t-0027,TAG10027,tagged,SNOOK,2025-07-03T08:30:00,28.09231,-97.65302,excellent
tr-r-0027,t-0027,TAG10027,recaptured,SHARK,2025-08-15T10:30:00,26.34117,-97.54762,fair
tr-0030,t-0030,TAG10030,tagged,FLOUNDER,2025-08-15T11:30:00,26.98735,-96.99115,fair
tr-0033,t-0033,TAG10033,tagged,TARPON,2025-02-11T14:15:00,28.07914,-97.41197,fair
tr-0036,t-0036,TAG10036,tagged,SNOOK,2025-02-10T05:30:00,26.33023,-96.94152,fair
tr-r-0036,t-0036,TAG10036,recaptured,SHARK,2025-03-02T08:30:00,27.31253,-97.42537,excellent
tr-0039,t-0039,TAG10039,tagged,SNOOK,2025-08-16T10:45:00,26.79908,-97.67012,fair
tr-0042,t-0042,TAG10042,tagged,COBIA,2025-01-16T12:30:00,27.871,-95.9325,fair
tr-0045,t-0045,TAG10045,tagged,FLOUNDER,2025-06-23T13:30:00,28.18087,-97.58021,excellent
tr-r-0045,t-0045,TAG10045,recaptured,TARPON,2025-07-18T21:30:00,26.96319,-96.97408,good
tr-0048,t-0048,TAG10048,tagged,SHARK,2025-01-20T07:45:00,28.1524,-97.78634,good
tr-0051,t-0051,TAG10051,tagged,FLOUNDER,2025-07-13T11:00:00,27.76192,-96.03249,excellent
tr-0054,t-0054,TAG10054,tagged,SHARK,2025-09-03T08:15:00,27.75573,-96.82276,fair
tr-r-0054,t-0054,TAG10054,recaptured,SNOOK,2025-10-25T13:15:00,27.12837,-97.46353,fair
tr-0057,t-0057,TAG10057,tagged,COBIA,2025-10-04T10:45:00,27.5633,-96.47866,excellent
tr-0060,t-0060,TAG10060,tagged,SHARK,2025-07-29T15:45:00,26.1545,-97.71063,fair
tr-0063,t-0063,TAG10063,tagged,SHARK,2025-04-22T11:00:00,27.99421,-97.54622,excellent
tr-r-0063,t-0063,TAG10063,recaptured,COBIA,2025-05-06T18:00:00,27.63621,-96.14304,poor
tr-0066,t-0066,TAG10066,tagged,TARPON,2025-02-13T08:30:00,27.40828,-97.68994,fair
tr-0069,t-0069,TAG10069,tagged,RED_SNAPPER,2025-09-22T05:45:00,28.14451,-97.75218,fair
tr-0072,t-0072,TAG10072,tagged,TARPON,2025-10-21T11:45:00,27.79841,-97.08178,fair
tr-r-0072,t-0072,TAG10072,recaptured,TARPON,2025-11-17T16:45:00,28.09916,-96.79521,poor
tr-0075,t-0075,TAG10075,tagged,TARPON,2025-01-01T16:45:00,28.16762,-97.47001,good
tr-0078,t-0078,TAG10078,tagged,SHARK,2025-09-06T14:45:00,28.2407,-96.91378,good
tr-0081,t-0081,TAG10081,tagged,TARPON,2025-09-12T09:30:00,26.12346,-96.53121,fair
tr-r-0081,t-0081,TAG10081,recaptured,FLOUNDER,2025-09-21T14:30:00,27.08611,-97.41091,excellent
tr-0084,t-0084,TAG10084,tagged,SHARK,2025-02-03T05:30:00,26.968,-97.59804,fair
tr-0087,t-0087,TAG10087,tagged,FLOUNDER,2025-01-15T15:15:00,28.05174,-96.57417,excellent
tr-0090,t-0090,TAG10090,tagged,FLOUNDER,2025-03-05T12:45:00,27.31247,-96.46569,good
tr-r-0090,t-0090,TAG10090,recaptured,SNOOK,2025-04-26T19:45:00,28.05589,-96.73219,poor
tr-0093,t-0093,TAG10093,tagged,RED_SNAPPER,2025-04-20T15:30:00,27.05622,-97.13657,excellent
tr-0096,t-0096,TAG10096,tagged,SNOOK,2025-02-28T07:00:00,26.17342,-97.76274,fair
tr-0099,t-0099,TAG10099,tagged,FLOUNDER,2025-09-20T05:15:00,26.96757,-96.05035,fair
tr-r-0099,t-0099,TAG10099,recaptured,FLOUNDER,2025-10-22T07:15:00,26.52782,-96.1954,poor
tr-0102,t-0102,TAG10102,tagged,SHARK,2025-03-28T15:00:00,26.40258,-96.78752,fair
tr-0105,t-0105,TAG10105,tagged,FLOUNDER,2025-08-05T12:00:00,26.78912,-97.43217,good
tr-0108,t-0108,TAG10108,tagged,FLOUNDER,2025-04-28T08:30:00,27.47151,-96.73243,good
tr-r-0108,t-0108,TAG10108,recaptured,TARPON,2025-06-06T13:30:00,26.5224,-97.62089,fair
tr-0111,t-0111,TAG10111,tagged,SNOOK,2025-08-29T07:15:00,27.23361,-97.58522,good
tr-0114,t-0114,TAG10114,tagged,TARPON,2025-02-10T12:00:00,27.76113,-95.94771,good
tr-0117,t-0117,TAG10117,tagged,SHARK,2025-06-22T06:45:00,27.78658,-97.15318,fair
tr-r-0117,t-0117,TAG10117,recaptured,RED_SNAPPER,2025-07-04T12:45:00,27.54502,-96.95292,fair
tr-0120,t-0120,TAG10120,tagged,FLOUNDER,2025-05-24T08:15:00,26.53402,-96.42524,good
tr-0123,t-0123,TAG10123,tagged,SHARK,2025-02-28T16:45:00,28.11688,-97.70194,good
tr-0126,t-0126,TAG10126,tagged,SNOOK,2025-06-19T10:00:00,28.05191,-97.15824,excellent
tr-r-0126,t-0126,TAG10126,recaptured,SHARK,2025-07-11T13:00:00,27.22423,-96.25443,excellent
tr-0129,t-0129,TAG10129,tagged,SHARK,2025-07-31T08:15:00,27.2767,-96.15595,excellent
tr-0132,t-0132,TAG10132,tagged,FLOUNDER,2025-07-16T10:45:00,27.88616,-97.03057,excellent
tr-0135,t-0135,TAG10135,tagged,RED_SNAPPER,2025-08-26T11:45:00,26.94587,-96.74947,fair
