tripId,anglerId,tripDate,launchSite,startTime,endTime
t-0001,a-010,2025-07-05,BobHall,14:15:00,21:15:00
t-0002,a-003,2025-04-19,BobHall,14:30:00,17:30:00
t-0003,a-004,2025-05-31,Packery,11:15:00,16:15:00
t-0004,a-019,2025-10-11,Marker24,08:15:00,10:15:00
t-0005,a-022,2025-02-20,BobHall,05:45:00,12:45:00
t-0006,a-006,2025-07-14,AransasPass,05:45:00,09:45:00
t-0007,a-022,2025-10-26,Packery,14:30:00,18:30:00
t-0008,a-020,2025-09-28,Packery,05:30:00,12:30:00
t-0009,a-021,2025-08-05,BobHall,09:00:00,11:00:00
t-0010,a-001,2025-03-01,AransasPass,09:15:00,15:15:00
t-0011,a-020,2025-10-19,Packery,09:45:00,15:45:00
t-0012,a-002,2025-05-06,BobHall,12:00:00,17:00:00
t-0013,a-001,2025-10-22,AransasPass,11:45:00,13:45:00
t-0014,a-007,2025-01-11,Marker24,14:15:00,17:15:00
t-0015,a-024,2025-09-25,Packery,15:30:00,21:30:00
t-0016,a-013,2025-05-05,Packery,09:30:00,14:30:00
t-0017,a-023,2025-03-06,Packery,15:45:00,17:45:00
t-0018,a-006,2025-10-10,AransasPass,06:15:00,08:15:00
t-0019,a-022,2025-10-22,BobHall,14:00:00,22:00:00
t-0020,a-009,2025-10-09,BobHall,07:30:00,12:30:00
t-0021,a-011,2025-08-31,Marker24,16:45:00,21:45:00
t-0022,a-002,2025-02-05,Marker24,08:30:00,11:30:00
t-0023,a-015,2025-06-04,AransasPass,08:45:00,16:45:00
t-0024,a-009,2025-09-04,Marker24,09:30:00,17:30:00
t-0025,a-030,2025-06-04,Marker24,15:45:00,17:45:00
t-0026,a-003,2025-04-19,BobHall,15:00:00,17:00:00
t-0027,a-001,2025-07-03,Marker24,08:30:00,10:30:00
t-0028,a-013,2025-09-29,BobHall,09:45:00,15:45:00
t-0029,a-005,2025-09-04,BobHall,08:00:00,12:00:00
t-0030,a-016,2025-08-15,Marker24,11:30:00,14:30:00
t-0031,a-014,2025-05-29,AransasPass,06:45:00,08:45:00
t-0032,a-002,2025-07-08,AransasPass,09:00:00,16:00:00
t-0033,a-011,2025-02-11,BobHall,14:15:00,18:15:00
t-0034,a-019,2025-08-14,AransasPass,12:30:00,20:30:00
t-0035,a-014,2025-01-28,BobHall,11:30:00,14:30:00
t-0036,a-029,2025-02-10,AransasPass,05:30:00,08:30:00
t-0037,a-017,2025-07-04,Packery,06:00:00,11:00:00
t-0038,a-011,2025-06-08,BobHall,13:45:00,21:45:00
t-0039,a-006,2025-08-16,Packery,10:45:00,12:45:00
t-0040,a-010,2025-06-03,Marker24,07:15:00,15:15:00
t-0041,a-015,2025-08-27,BobHall,15:30:00,18:30:00
t-0042,a-020,2025-01-16,AransasPass,12:30:00,19:30:00
t-0043,a-011,2025-04-08,AransasPass,07:45:00,13:45:00
t-0044,a-014,2025-03-10,AransasPass,09:30:00,17:30:00
t-0045,a-026,2025-06-23,AransasPass,13:30:00,21:30:00
t-0046,a-014,2025-09-14,BobHall,14:45:00,22:45:00
t-0047,a-007,2025-04-14,BobHall,13:30:00,19:30:00
t-0048,a-018,2025-01-20,AransasPass,07:45:00,15:45:00
t-0049,a-008,2025-08-17,Packery,09:30:00,13:30:00
t-0050,a-022,2025-06-07,Marker24,16:00:00,21:00:00
t-0051,a-028,2025-07-13,Marker24,11:00:00,18:00:00
t-0052,a-008,2025-04-16,Marker24,06:00:00,12:00:00
t-0053,a-018,2025-03-31,AransasPass,15:45:00,21:45:00
t-0054,a-024,2025-09-03,Packery,08:15:00,13:15:00
t-0055,a-006,2025-03-13,Marker24,16:45:00,19:45:00
t-0056,a-003,2025-09-13,Marker24,11:30:00,17:30:00
t-0057,a-022,2025-10-04,Marker24,10:45:00,18:45:00
t-0058,a-025,2025-06-01,BobHall,08:00:00,10:00:00
t-0059,a-027,2025-07-14,BobHall,10:45:00,14:45:00
t-0060,a-027,2025-07-29,BobHall,15:45:00,18:45:00
t-0061,a-004,2025-01-12,BobHall,10:00:00,17:00:00
t-0062,a-022,2025-03-10,Packery,10:00:00,13:00:00
t-0063,a-018,2025-04-22,AransasPass,11:00:00,18:00:00
t-0064,a-016,2025-03-14,Marker24,14:30:00,21:30:00
t-0065,a-021,2025-07-04,AransasPass,09:00:00,13:00:00
t-0066,a-009,2025-02-13,BobHall,08:30:00,16:30:00
t-0067,a-024,2025-03-31,Marker24,06:00:00,13:00:00
t-0068,a-028,2025-10-18,Marker24,07:30:00,10:30:00
t-0069,a-008,2025-09-22,Packery,05:45:00,07:45:00
t-0070,a-012,2025-01-05,BobHall,10:00:00,18:00:00
t-0071,a-015,2025-06-07,BobHall,12:30:00,20:30:00
t-0072,a-030,2025-10-21,AransasPass,11:45:00,16:45:00
t-0073,a-009,2025-04-03,Packery,05:30:00,11:30:00
t-0074,a-030,2025-03-30,Marker24,07:15:00,13:15:00
t-0075,a-006,2025-01-01,BobHall,16:45:00,23:45:00
t-0076,a-006,2025-01-28,Packery,06:30:00,09:30:00
t-0077,a-018,2025-09-01,Marker24,14:15:00,19:15:00
t-0078,a-021,2025-09-06,AransasPass,14:45:00,16:45:00
t-0079,a-009,2025-08-02,AransasPass,14:00:00,17:00:00
t-0080,a-009,2025-07-29,BobHall,13:00:00,21:00:00
t-0081,a-021,2025-09-12,BobHall,09:30:00,14:30:00
t-0082,a-028,2025-07-15,BobHall,13:30:00,18:30:00
t-0083,a-020,2025-08-11,Marker24,15:45:00,20:45:00
t-0084,a-006,2025-02-03,Packery,05:30:00,09:30:00
t-0085,a-009,2025-03-12,Marker24,11:00:00,17:00:00
t-0086,a-030,2025-02-26,Marker24,14:45:00,17:45:00
t-0087,a-020,2025-01-15,AransasPass,15:15:00,20:15:00
t-0088,a-021,2025-03-22,AransasPass,13:45:00,21:45:00
t-0089,a-021,2025-08-22,AransasPass,10:30:00,18:30:00
t-0090,a-002,2025-03-05,Marker24,12:45:00,19:45:00
t-0091,a-026,2025-01-07,Marker24,13:00:00,15:00:00
t-0092,a-030,2025-07-15,Marker24,11:45:00,19:45:00
t-0093,a-008,2025-04-20,AransasPass,15:30:00,19:30:00
t-0094,a-003,2025-01-28,BobHall,07:30:00,13:30:00
t-0095,a-026,2025-10-07,BobHall,09:15:00,13:15:00
t-0096,a-007,2025-02-28,Packery,07:00:00,15:00:00
t-0097,a-021,2025-01-16,AransasPass,14:45:00,22:45:00
t-0098,a-019,2025-02-09,AransasPass,13:30:00,18:30:00
t-0099,a-005,2025-09-20,BobHall,05:15:00,07:15:00
t-0100,a-012,2025-10-22,Marker24,06:45:00,09:45:00
t-0101,a-009,2025-06-07,BobHall,14:30:00,22:30:00
t-0102,a-020,2025-03-28,Marker24,15:00:00,19:00:00
t-0103,a-003,2025-09-15,AransasPass,09:30:00,11:30:00
t-0104,a-028,2025-05-16,Packery,08:15:00,11:15:00
t-0105,a-017,2025-08-05,AransasPass,12:00:00,18:00:00
t-0106,a-007,2025-08-03,BobHall,16:30:00,20:30:00
t-0107,a-019,2025-10-22,AransasPass,15:15:00,23:15:00
t-0108,a-010,2025-04-28,Marker24,08:30:00,13:30:00
t-0109,a-012,2025-07-31,BobHall,09:15:00,13:15:00
t-0110,a-014,2025-04-07,AransasPass,06:15:00,09:15:00
t-0111,a-018,2025-08-29,Marker24,07:15:00,15:15:00
t-0112,a-008,2025-06-12,Marker24,13:30:00,21:30:00
t-0113,a-002,2025-03-08,BobHall,07:00:00,10:00:00
t-0114,a-030,2025-02-10,Marker24,12:00:00,16:00:00
t-0115,a-012,2025-08-20,BobHall,12:45:00,14:45:00
t-0116,a-016,2025-10-23,Marker24,06:30:00,08:30:00
t-0117,a-005,2025-06-22,Packery,06:45:00,12:45:00
t-0118,a-007,2025-06-14,AransasPass,10:00:00,18:00:00
t-0119,a-028,2025-07-17,Marker24,08:45:00,14:45:00
t-0120,a-018,2025-05-24,Marker24,08:15:00,12:15:00
t-0121,a-003,2025-09-02,AransasPass,07:45:00,14:45:00
t-0122,a-018,2025-07-18,Packery,13:00:00,16:00:00
t-0123,a-003,2025-02-28,AransasPass,16:45:00,23:45:00
t-0124,a-006,2025-03-24,AransasPass,15:30:00,21:30:00
t-0125,a-002,2025-06-20,Marker24,10:15:00,12:15:00
t-0126,a-019,2025-06-19,AransasPass,10:00:00,13:00:00
t-0127,a-009,2025-03-18,Marker24,07:30:00,09:30:00
t-0128,a-020,2025-07-02,Marker24,09:30:00,17:30:00
t-0129,a-013,2025-07-31,AransasPass,08:15:00,14:15:00
t-0130,a-010,2025-07-27,Marker24,06:00:00,13:00:00
t-0131,a-010,2025-10-19,AransasPass,15:30:00,20:30:00
t-0132,a-018,2025-07-16,BobHall,10:45:00,13:45:00
